"year","poblacion_total","consumo_total_miles_t","consumo_se_miles_t","consumo_cv_pct","consumo_ci95_lower_miles_t","consumo_ci95_upper_miles_t","consumo_anchoveta_miles_t","consumo_sardina_miles_t","consumo_otros_miles_t","n_casos_con_se"
2015,529961.834986771,19.38,0.83,4.3,17.76,21,4.99,7.88,6.51,4
2016,431364.359683737,12.11,0.47,3.9,11.19,13.03,2.49,3.7,5.92,4
2017,501272.424561386,14.41,0.37,2.6,13.68,15.14,3.01,5.11,6.29,4
2018,417493.663327227,11.51,0.27,2.3,10.98,12.03,2.7,4.08,4.72,4
2019,342472.060221877,12.61,0.29,2.3,12.03,13.18,2.81,4.85,4.95,4
2020,282599.741282061,8.28,0.24,2.9,7.8,8.75,2.06,3.35,2.86,4
2021,145793.021709439,5.85,0.05,0.9,5.75,5.95,1.42,2.58,1.85,4
2022,28171.3272112518,1.24,0.03,2.5,1.18,1.3,0.33,0.56,0.34,4
