"edad_consumo","transicion_label","años_disponibles","poblacion_promedio","consumo_individual_promedio_kg","consumo_individual_se_promedio_kg","consumo_total_promedio_t","consumo_total_se_promedio_t","consumo_anchoveta_promedio_t","consumo_sardina_promedio_t","consumo_otros_promedio_t","consumo_cv_promedio"
1,"1 → 2",9,129367.794652507,15.3095788516859,0.985637790854034,2084.4663977409,130.840455795105,297.453354957626,344.353848906797,1442.65919387648,0.0666774579739712
2,"2 → 3",9,124595.70054166,33.6678639839915,1.31280935682674,4188.48276656288,160.658253098229,872.042111998392,1396.02130609541,1920.83819674574,0.0420401436768595
3,"3 → 4",9,69586.1704693699,51.9278089073702,1.49752146816421,3693.86887442582,92.0340460300864,1157.26086053868,1619.24180820365,917.366205683491,0.0283040581139056
4,"4 → 5",8,9257.97946735051,64.9492302129323,1.86854179320466,601.710705944398,24.1530966657617,71.3253023599477,329.498342939901,200.887060644549,0.0285765152953044
