"year","Rio","edad_consumo","transicion_label","N_mar","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2015,"Bueno",1,"1 → 2",36843.9088143501,16.1539661226268,0.655074958325474,14.8700427971348,17.4378894481188,2.57171140672219,2.81402089856159,10.768233817343,595.175254812163,24.135522031108,547.870500883118,642.480008741207,0.0405519581601643,94.7519005660964,103.679529388279,396.743824857787,0.1592,0.1742,0.6666
2015,"Imperial",1,"1 → 2",41975.9788848613,16.1539661226268,0.655074958325474,14.8700427971348,17.4378894481188,2.57171140672219,2.81402089856159,10.768233817343,678.078540870147,27.4974126186715,624.184602469514,731.97247927078,0.0405519581601643,107.950103706528,118.12128181958,452.007155344039,0.1592,0.1742,0.6666
2015,"Tolten",1,"1 → 2",41320.9495697275,16.1539661226268,0.655074958325474,14.8700427971348,17.4378894481188,2.57171140672219,2.81402089856159,10.768233817343,667.497219504148,27.0683193173583,614.444288520097,720.5501504882,0.0405519581601643,106.265557345061,116.278015637623,444.953646521464,0.1592,0.1742,0.6666
2015,"Valdivia",1,"1 → 2",7965.37696485705,16.1539661226268,0.655074958325474,14.8700427971348,17.4378894481188,2.57171140672219,2.81402089856159,10.768233817343,128.672429644253,5.21791898330042,118.445496362736,138.899362925769,0.0405519581601643,20.484650799365,22.4147372440288,85.7730416008586,0.1592,0.1742,0.6666
2015,"Bueno",2,"2 → 3",43665.8041082734,27.3741225123362,1.04254136724598,25.3307789801409,29.4174660445315,5.80878879711774,11.365735667122,10.2023354603477,1195.31307125955,45.5234071169345,1106.0888328568,1284.5373096623,0.0380849237003362,253.645433721276,496.293987186965,445.493181658434,0.2122,0.4152,0.3727
2015,"Imperial",2,"2 → 3",49748.1111592993,27.3741225123362,1.04254136724598,25.3307789801409,29.4174660445315,5.80878879711774,11.365735667122,10.2023354603477,1361.81088963198,51.8644638259209,1260.15840845569,1463.46337080827,0.0380849237003362,288.976270779906,565.423881375198,507.546918565838,0.2122,0.4152,0.3727
2015,"Tolten",2,"2 → 3",48971.7988004794,27.3741225123362,1.04254136724598,25.3307789801409,29.4174660445315,5.80878879711774,11.365735667122,10.2023354603477,1340.5600200138,51.0551260779468,1240.49381167487,1440.62622835273,0.0380849237003362,284.466836246929,556.600520309731,499.626719459144,0.2122,0.4152,0.3727
2015,"Valdivia",2,"2 → 3",9440.21960179568,27.3741225123362,1.04254136724598,25.3307789801409,29.4174660445315,5.80878879711774,11.365735667122,10.2023354603477,258.417727922913,9.84181945075837,239.12811625708,277.707339588745,0.0380849237003362,54.836241865242,107.295040633593,96.3122871968695,0.2122,0.4152,0.3727
2015,"Bueno",3,"3 → 4",57830.5586456281,56.1905645401801,4.00764303883803,48.3357285211649,64.0454005591953,17.604074016848,24.6316570574444,13.9548334658877,3249.53173797184,231.764235788266,2795.28218292239,3703.78129302129,0.0713223487187478,1018.05343483331,1424.46248799954,807.015815138992,0.313292350075249,0.438359309236538,0.248348340688213
2015,"Imperial",3,"3 → 4",65885.9058858367,56.1905645401801,4.00764303883803,48.3357285211649,64.0454005591953,17.604074016848,24.6316570574444,13.9548334658877,3702.16624696634,264.047192080911,3184.64326026882,4219.68923366385,0.0713223487187478,1159.86036388135,1622.87903869899,919.426844386001,0.313292350075249,0.438359309236538,0.248348340688213
