"year","poblacion_total","consumo_total_miles_t","consumo_se_miles_t","consumo_cv_pct","consumo_ci95_lower_miles_t","consumo_ci95_upper_miles_t","consumo_anchoveta_miles_t","consumo_sardina_miles_t","consumo_otros_miles_t","n_casos_con_se"
2015,501598.765817951,19.12,0.83,4.3,17.5,20.74,4.8,7.01,7.31,4
2016,374800.556249191,11.2,0.4,3.5,10.43,11.98,2.25,2.8,6.15,4
2017,452365.632319249,14.03,0.38,2.7,13.28,14.78,2.64,3.41,7.98,4
2018,381958.913323501,11,0.26,2.3,10.49,11.5,2.49,3.26,5.25,4
2019,316273.986503719,12.44,0.26,2.1,11.92,12.95,2.57,3.7,6.16,4
2020,266293.514808871,8.21,0.21,2.6,7.79,8.63,1.96,2.83,3.42,4
2021,142745.615428231,5.89,0.05,0.9,5.79,5.99,1.36,2.26,2.28,4
2022,27862.8812730447,1.24,0.03,2.5,1.18,1.3,0.33,0.55,0.35,4
