"year_consumo","Rio","edad_consumo","transicion_label","N_mar","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2014,"Bueno",1,"1 → 2",59906.5566617338,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,2.27633828031355,2.63525636936089,11.0403204190961,955.624303930465,39.1423992762825,878.906611080463,1032.34199678047,0.0409600290776308,136.367588170877,157.869135009313,661.387580750277,0.1427,0.1652,0.6921
2014,"Imperial",1,"1 → 2",68251.0742866207,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,2.27633828031355,2.63525636936089,11.0403204190961,1088.73534037252,44.5946311995026,1001.33146931765,1176.13921142739,0.0409600290776308,155.362533071159,179.85907822954,753.513729071823,0.1427,0.1652,0.6921
2014,"Tolten",1,"1 → 2",67186.0257604208,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,2.27633828031355,2.63525636936089,11.0403204190961,1071.74577673846,43.8987381790353,985.705830940795,1157.78572253612,0.0409600290776308,152.938122340578,177.052402317194,741.75525208069,0.1427,0.1652,0.6921
2014,"Valdivia",1,"1 → 2",12951.3485901209,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,2.27633828031355,2.63525636936089,11.0403204190961,206.598812735649,8.46229337705618,190.013022490007,223.184602981291,0.0409600290776308,29.4816505773771,34.1301238639293,142.987038294343,0.1427,0.1652,0.6921
2014,"Bueno",2,"2 → 3",80114.725595243,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,5.59886678235463,8.96302737059941,12.332566313102,2154.42687758243,83.8533543627877,1990.07732304849,2318.77643211637,0.0389214204646773,448.551675912662,718.070478298224,988.020166059304,0.2082,0.3333,0.4586
2014,"Imperial",2,"2 → 3",91274.0840527372,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,5.59886678235463,8.96302737059941,12.332566313102,2454.52179295252,95.5334747432186,2267.27962313785,2641.7639627672,0.0389214204646773,511.031437292715,818.092113591075,1125.64369424803,0.2082,0.3333,0.4586
2014,"Tolten",2,"2 → 3",89849.7646597213,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,5.59886678235463,8.96302737059941,12.332566313102,2416.21932159315,94.0426881506044,2231.89903980864,2600.53960337767,0.0389214204646773,503.056862755695,805.325899886997,1108.07818088262,0.2082,0.3333,0.4586
2014,"Valdivia",2,"2 → 3",17320.2032666426,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,5.59886678235463,8.96302737059941,12.332566313102,465.770944924281,18.128466787628,430.2398029256,501.302086922963,0.0389214204646773,96.9735107332354,155.241455943263,213.602555342276,0.2082,0.3333,0.4586
2014,"Bueno",3,"3 → 4",10140.1189882917,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,17.036401526867,23.8373685262344,13.5048367745952,551.405543650375,40.0598045068047,472.889769589322,629.921317711428,0.0726503477669152,172.751138614746,241.713753223776,136.940651811853,0.313292350075249,0.438359309236538,0.248348340688213
2014,"Imperial",3,"3 → 4",11552.5587333105,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,17.036401526867,23.8373685262344,13.5048367745952,628.212049212564,45.6398238466593,538.75963821236,717.664460212769,0.0726503477669152,196.814029243392,275.38259994689,156.015420022283,0.313292350075249,0.438359309236538,0.248348340688213
