"edad","peso_inicial","peso_final","densidad_lab_ini","densidad_lab_end","pred_edad_ini","pred_edad_end","pred_peso_ini","pred_peso_end","densidad_mix_ini","densidad_mix_end"
1,700,3271.29702970297,6362.07098566888,6858.85805249307,6359.24147700335,6861.22476407459,6480.96634597789,7108.36675978417,6362.07098566888,6858.85805249307
2,3271.29702970297,7364.02777777778,6858.85805249307,7175.89400180806,6861.22476407459,7173.04015522726,7108.36675978417,7462.57459132231,6858.85805249307,7175.89400180806
3,7364.02777777778,10869,7175.89400180806,NA,7173.04015522726,7402.8334092031,7462.57459132231,7638.73077603139,7175.89400180806,7638.73077603139
4,10869,14195.1162790698,NA,NA,7402.8334092031,7586.13246557499,7638.73077603139,7761.93467106616,7638.73077603139,7761.93467106616
5,14195.1162790698,NA,NA,NA,7586.13246557499,NA,7761.93467106616,NA,7761.93467106616,NA
