"age","n_individuos","DE_media","peso_mean","talla_mean","DE_sd","DE_se","peso_sd","peso_se"
1,2,6362.07098566888,700,40,536.234373114609,379.174961534657,28.2842712474619,20
3,3,7175.89400180806,4838.33333333333,75,469.310900552058,270.956774767356,924.423243613732,533.716008545535
2,6,6858.85805249307,1495.83333333333,50.6666666666667,311.175828113111,127.036999860855,417.724989277236,170.535512756467
