"MixID","d13C","d15N"
1,-23.7265092306546,13.46
2,-17.8607608684364,18.36
3,-23.3483943404335,13.16
4,-17.9896064466089,17.78
5,-18.0053378606737,17.82
6,-17.4606206461006,18.4
7,-17.7696064466089,17.19
8,-17.9510598595018,17.37
9,-21.26,15.12
10,-23.2406543299617,14.11
11,-17.5080606655385,18.58
12,-20.461983065199,15.53
