"Source","n","Meand13C","SDd13C","Meand15N","SDd15N"
"Anchoveta",5,-16.6908909545302,0.572073249984134,17.162,0.330408837654201
"Sardina",15,-16.5876442566392,0.403127607372282,16.1286666666667,0.771055553554131
